sample	animal	tag	sex	farrow_date	farrow_pen	cross_fostered	weaning_group	pre_weaning_weight	necropsy_weight	change_weight_prewean_to_necropsy	necropsy_date	age_at_necropsy	room	age_group	dpw
JS85	P8176	T202108176	M	7/24/21	316	No	Late	13.5	NA	-13.5	Sep_10	48	R7	d49	21 dpw
JS89	P8486	T202108486	M	7/31/21	301	No	Standard	16	NA	-16	Sep_17	48	R10	d49	28 dpw
JS90	P8588	T202108588	M	8/2/21	402	No	Standard	12.2	NA	-12.2	Sep_17	46	R9	d49	28 dpw
JS91	P8371	T202108371	F	7/29/21	302	No	Standard	14.1	NA	-14.1	Sep_17	50	R9	d49	28 dpw
JS96	P8528	T202108528	F	8/1/21	409	No	Standard	14	NA	-14	Sep_17	47	R8	d49	28 dpw
JS97	P8376	T202108376	M	7/29/21	302	No	Standard	13.1	NA	-13.1	Sep_17	50	R8	d49	28 dpw
JS98	P8500	T202108500	M	8/1/21	406	No	Standard	16.2	NA	-16.2	Sep_17	47	R8	d49	28 dpw
JS103	P8324	T202108324	M	7/29/21	310	No	Standard	15.9	NA	-15.9	Sep_17	50	R10	d49	28 dpw
JS104	P8584	T202108584	F	8/2/21	402	No	Standard	12.4	NA	-12.4	Sep_17	46	R10	d49	28 dpw
JS92	P8243	T202108243	M	7/25/21	311	No	Late	17.7	NA	-17.7	Sep_17	54	R6	d56	28 dpw
JS93	P8167	T202108167	F	7/24/21	316	No	Late	15.1	NA	-15.1	Sep_17	55	R6	d56	28 dpw
JS94	P8171	T202108171	M	7/24/21	319	Yes	Late	15.9	NA	-15.9	Sep_17	55	R6	d56	28 dpw
JS95	P8180	T202108180	F	7/24/21	318	No	Late	18.5	NA	-18.5	Sep_17	55	R6	d56	28 dpw
JS99	P8289	T202108289	M	7/26/21	315	No	Late	18.8	NA	-18.8	Sep_17	53	R7	d56	28 dpw
JS100	P8190	T202108190	M	7/24/21	318	No	Late	18	NA	-18	Sep_17	55	R7	d56	28 dpw
JS101	P8260	T202108260	M	7/24/21	316	Yes	Late	16.1	NA	-16.1	Sep_17	55	R7	d56	28 dpw
JS102	P8194	T202108194	F	7/24/21	319	No	Late	21.7	NA	-21.7	Sep_17	55	R7	d56	28 dpw
JS105	P8490	T202108490	M	7/31/21	301	No	Standard	10.3	NA	-10.3	Sep_24	55	R10	d56	35 dpw
JS106	P8378	T202108378	M	7/29/21	302	No	Standard	14.1	NA	-14.1	Sep_24	57	R10	d56	35 dpw
JS107	P8534	T202108534	M	8/1/21	409	No	Standard	15.6	NA	-15.6	Sep_24	54	R9	d56	35 dpw
JS108	P8317	T202108317	F	7/29/21	310	No	Standard	16.4	NA	-16.4	Sep_24	57	R9	d56	35 dpw
JS109	P8479	T202108479	F	7/31/21	301	No	Standard	14	NA	-14	Sep_24	55	R8	d56	35 dpw
JS110	P8592	T202108592	M	8/2/21	402	No	Standard	11.4	NA	-11.4	Sep_24	53	R8	d56	35 dpw
JS111	P8321	T202108321	M	7/29/21	310	No	Standard	16	NA	-16	Sep_24	57	R8	d56	35 dpw
JS112	P8496	T202108496	F	8/1/21	406	No	Standard	12.6	NA	-12.6	Sep_24	54	R8	d56	35 dpw
