	JS1	JS10	JS100	JS101	JS102	JS103	JS104	JS105	JS106	JS107	JS11	JS110	JS111	JS12	JS13	JS14	JS15	JS16	JS17	JS18	JS19	JS2	JS20	JS21	JS22	JS23	JS24	JS25	JS26	JS27	JS28	JS29	JS3	JS30	JS31	JS32	JS33	JS34	JS35	JS36	JS37	JS38	JS39	JS4	JS40	JS41	JS42	JS43	JS44	JS45	JS46	JS47	JS48	JS49	JS5	JS50	JS51	JS52	JS53	JS54	JS55	JS56	JS57	JS58	JS59	JS6	JS60	JS61	JS62	JS63	JS64	JS65	JS66	JS67	JS68	JS69	JS7	JS70	JS71	JS72	JS73	JS74	JS75	JS76	JS77	JS78	JS79	JS8	JS80	JS81	JS82	JS83	JS84	JS85	JS86	JS87	JS88	JS89	JS9	JS90	JS91	JS92	JS93	JS94	JS95	JS96	JS97	JS98	JS99
JS1	0.0	0.36021988031540925	2.2399600238286554	3.1667322910234867	3.4482377105601807	2.670730780599726	1.7128188258251296	1.0089799162535333	2.830867031406982	3.268585130342181	0.35839393216936477	1.2236400454276586	2.249933512050297	0.801542057955435	0.15124690953242084	0.9978496077846368	0.5406600314324447	0.7812263118226177	0.8533153820984951	1.3446970533115592	0.7874030213468068	0.3599483061212497	0.7851912420038609	1.186162500147065	0.50739609943455	0.3948386094070916	0.19494416247681343	0.33395999607671595	1.4054410470739511	0.7854215827182977	1.001864842576948	0.5279879248385827	0.8228667544801873	0.7002492164635292	0.44785462862967124	2.17590409424201	1.1135447208081735	1.3575980699236814	0.8087993882832019	0.6469526096536518	1.7641110133652227	1.062522746302817	1.3408771036911875	0.3279471930965013	1.7400705116871802	1.9141926973825276	1.9652466709701797	1.5509531774487593	0.4796355428386188	0.8408623826694124	0.7065505355724601	0.7532014635234001	0.7859337527457472	2.274391619469685	0.5322970229349706	1.9989104358120715	1.7587224090981548	2.480475592662369	1.3744158545155438	1.5938408150618109	1.807649823449339	1.0835155751240377	2.0278729499652344	2.5051233006454168	3.1153590552622914	1.6685238013065737	2.3363342649050023	1.7398352447143872	1.91578725654501	2.8642318730750764	2.383830809386884	2.288284827393836	1.308635828957283	1.7067179528068526	1.556459749946097	1.802645122443735	0.8105492618023439	2.581373801948018	2.7835105783652403	2.9590437317333924	3.015464877144741	3.263602786967	2.0556513297386636	2.9259400572284457	3.4388214085341766	3.0915912096498	2.768145502725322	1.76200523503721	3.331815650086488	2.542225690701255	1.8010871175789662	2.628431668612374	1.4976504618887672	2.3876813008454487	1.6211384684490449	2.243831269577556	2.959065692049596	2.7096522794668196	0.5571865337932682	2.5798143239731	2.1039490371102563	2.033804871782402	2.7178016301962673	2.9813113378643625	2.921643533095807	2.4989309550492105	2.951195393958219	1.6996568010523896	2.562661707120603
JS10	0.36021988031540925	0.0	2.4549186852949796	3.167255768200999	3.4905263285339245	2.7232039307280953	1.9436403394658408	0.6534272861322126	2.7922579429323227	3.2287939126829204	0.14488533021074024	0.9301549543856918	2.3136621271582354	1.1556967055216805	0.42178595283770737	1.347279746531291	0.9002891666392681	1.1238327359839544	1.1882372248859847	1.689547595774302	1.0681474766756858	0.48967745601483414	1.1095583297776077	1.5397118561505736	0.6106214487644505	0.6458775713939205	0.4149572043842916	0.24608853769625455	1.7533821923527184	1.136370447815358	1.3388326821182532	0.846360364792374	1.0842755413948881	0.37093108560209076	0.7089231837350497	1.8255614441728423	1.4338849600251646	1.7081062370977986	0.5709814726282884	0.9882545069447394	2.1114770714235593	1.4093639366410344	1.6961148585261818	0.26213082673563703	2.0890880146321584	2.2609207525914474	2.308597379179773	1.8888692190763772	0.7656239162932119	1.0458924199596493	0.9054630002417164	1.0209243838181221	1.052905055579513	2.627853111733165	0.1887609137321965	2.3538288261210965	2.0847681391754356	2.8154540046364676	1.6504723578910447	1.9008764790949435	2.1542414378395005	1.386344034550162	2.3295874472987914	2.834228722587877	3.4238365795220957	2.0157640149522695	2.657624479962555	2.0557006741538726	2.1671187485311165	3.2111345376410485	2.7112278994533896	2.53853575784779	1.5529105255518298	1.901874690026611	1.8035411943560877	2.1043390877508346	1.1654655657020387	2.752037569172493	3.0975756702843738	3.2195663546949675	3.231657140907851	3.5162381077554006	2.3891219997589856	2.9639888665653613	3.767395473125592	3.3859046630112566	3.016063474873669	2.1168207433446833	3.672594661015873	2.7877895103080705	1.91832305278336	2.8141791239601877	1.5456691966715372	2.660258235527441	1.717192438485582	2.43767056672942	3.303548949030594	2.7579277993369558	0.9143562486241797	2.8640083558641574	2.3490005906018245	2.339817476628125	2.703615372194605	3.326267718475896	2.916631181958007	2.5333356194723837	2.969839415697631	2.0202435996475425	2.8692111293433236
JS100	2.2399600238286554	2.4549186852949796	0.0	1.9239918171421033	1.8995666538697134	1.3145464061934053	0.5410626179650986	2.9082746880232535	1.9806007202505018	2.316105362432705	2.5450063479866634	2.8404492706002906	1.0961142883374313	1.7582171689110637	2.1042498265298013	2.0069268872461787	1.960462592637565	1.6678804864078964	1.8699680514585133	1.493641536204532	1.571869178065739	2.496116517610678	1.9878117799888437	1.8047990201006558	2.6326471378689456	2.124702064748563	2.242969693790427	2.5093068022226532	1.8637609715383168	1.8358490240725605	1.9547657264438147	2.1195461213648175	2.5486026162210873	2.602012301245548	2.1179389392063985	3.8773365925206034	1.3297210836308224	1.7321736893981892	2.4448095784915744	1.751638082484668	2.0280620936493015	1.932744854774793	1.7220096301504306	2.2015282020405103	1.9899866397963677	1.95884196075812	2.337593821317128	1.9276326500570151	1.9876483329083119	1.4336052853158132	1.896321560851185	1.5982060861832788	2.0150164970529865	1.9979190759746466	2.6180974246811584	1.8104136654942151	1.9797144191906253	1.8451027121959331	1.2340259615307454	1.047962084768877	1.7776468206133553	1.6071894932844446	0.8255211546197992	1.3389718079602109	1.557697157167309	2.26643733013936	1.4912982707963478	1.1352304792297585	0.4236354181651894	1.8774060339480023	1.2273265460145568	0.5573708866768706	0.940296129177592	0.5767466964360235	0.7261161918310843	0.8494300120471381	2.0745746001897327	0.5726491124318175	1.4459315541439108	0.9588305333234561	0.7932354418441994	1.1139957567741907	1.252109752994001	1.5136119758577353	2.1067940179284155	1.4053194100422337	0.7547219940544648	2.1017745370386156	2.232043936845022	0.4762334864884403	0.805860446413035	0.45595537833542876	1.2613766140153875	0.731861620460792	1.0539266101777711	0.4519347701949934	2.243248757416327	1.3805430409254893	2.034005621131903	0.9282409303902306	0.35834957423241687	0.9148088090318526	1.7399273126868273	2.215285153277959	1.8164404199886266	1.3366856591083758	1.6660206591557305	1.068861840733397	1.054360223018103
JS101	3.1667322910234867	3.167255768200999	1.9239918171421033	0.0	0.5026531055033265	0.6330672641319306	2.121947882814246	3.2817980243133587	0.5141108031763743	0.5864017499064682	3.3024196960438847	3.14631502251869	1.005674275973097	3.1364184665591304	3.024419491448189	3.488419995718305	3.202909101463986	3.011060505678693	3.2717820186826305	3.154323169507651	2.830246403960272	3.470298506479383	3.3396260612434534	3.387506889801676	3.631566972556492	3.1907784298131405	3.1447685190766084	3.333911293960486	3.5242704482983913	3.2193710761831476	3.427820792834348	3.333199388434875	3.8200774745358657	3.132313053635835	3.2217357838120497	3.815223555325026	2.8229047272652785	3.389298235393887	2.9483381254420675	3.031323451464742	3.7863289596694143	3.4465749580979734	3.3741825350024572	2.9329370928308034	3.747667285258562	3.763869021202913	4.1091402646467445	3.6170845915913863	3.1247269968377354	2.514557207680143	2.9939118387453134	2.8129911249262927	3.2766342095844396	3.8805184005904745	3.2459752800280217	3.656977167301371	3.7016360758521714	3.737716485327922	2.7784683461421236	2.794000201989936	3.5751659035760848	3.068649042845356	2.7241940278374464	3.2600684120799963	3.3643323043314646	3.9659215184072134	3.3728597127069353	2.9409365376585876	2.2435443840516403	3.7879138057771677	3.1317725647606243	2.2196654993514335	2.335956160469953	1.9721309635861732	2.3079210235409313	2.665503739141638	3.4593350206628237	1.6804930029733687	3.3221442652496207	2.6038111046557946	1.9926654256603953	2.521269678435612	3.143585432265053	0.4692208964497729	3.938075710354609	3.1632204647816	2.420775527196021	3.854954122505875	4.11745061955262	2.2677527140702036	1.5626832104230044	1.6945680320935665	1.7290245244262892	2.5994267791807038	1.7859292668146958	1.9399193841960278	4.158378433506799	0.5970890384803064	3.2730947053086163	2.7831837529376493	2.234317839024758	2.812944198590321	0.47368370147701777	4.13176577867692	0.2720019850437422	0.7074623847220712	0.2664458048148677	2.865317579552926	2.9578634798557157
JS102	3.4482377105601807	3.4905263285339245	1.8995666538697134	0.5026531055033265	0.0	0.7830030322780673	2.1954659602501585	3.6708667044414494	0.9657677700484995	0.8746843152357016	3.6194574389661165	3.5553311982605247	1.2050907360943148	3.3129569352104657	3.3007236131299336	3.659241504434427	3.4154830497462747	3.1911220955575827	3.4648853275205624	3.261485017908994	3.0447837412226924	3.760236396235498	3.5484831279835563	3.5259505077585467	3.9206332012627843	3.460156817733692	3.4184423398652872	3.6477127976319794	3.6455096001390657	3.408155144262417	3.606276328481532	3.5713193632763827	4.053440675561007	3.4951943095664673	3.4848417135776724	4.276065187722517	2.959218441966242	3.5065344386421815	3.3180838881800714	3.235551700915288	3.8742010039919736	3.6105792001871655	3.486458907027827	3.2439589607445596	3.834488158847413	3.830595349876337	4.192958601538246	3.7340652248597084	3.376731667725988	2.749610055172059	3.2570589591859127	3.037402767738551	3.5113606517559384	3.8927035029490313	3.583326022366298	3.688894595337573	3.8082469887104002	3.7323049988124497	2.9236219309880727	2.871636800700327	3.6435318304287954	3.246520443716575	2.71745054653333	3.1918743077909095	3.231893679395045	4.072584085076447	3.3706996050971942	2.9990771763304815	2.2692410654653004	3.6934313193498935	3.0656439585265707	2.140605872206028	2.4765542884714673	2.089573317134128	2.4124582065840126	2.689874470149298	3.6454915070080047	1.64846474802183	3.2407576377458596	2.4571301050471352	1.7675680990316767	2.2827505193584274	3.139040868839071	0.6509919935666258	3.798305196067953	3.0283320262183846	2.310612153448379	3.9362254996944834	4.001353967738088	2.1806966584364638	1.7470720199594585	1.6041188219261295	2.0219571561117076	2.557083610084985	2.030772553792204	1.973020522744205	4.10666172856981	0.7390515733127221	3.4825243804822614	2.7095246703860436	2.238206791415866	2.8135973914559633	0.9100724676220253	4.072200926035219	0.6919838510742933	0.9722329639966353	0.5798846934119027	2.9098672477747667	2.8707940325395946
JS103	2.670730780599726	2.7232039307280953	1.3145464061934053	0.6330672641319306	0.7830030322780673	0.0	1.4943868753194998	2.940179319124501	0.720679514667648	1.0193366058275473	2.8510065113404854	2.836350170787158	0.42369761501201425	2.551486442033782	2.523558727529864	2.900284116102034	2.6427994447276113	2.428173331695608	2.6974744158557016	2.5384332152443974	2.2700884580877854	2.979342722603692	2.7761362171681596	2.7835390853925226	3.1394865791593762	2.6772053908428046	2.6477462076598965	2.87255724399522	2.916159876514926	2.6410846449190326	2.8454211269039136	2.7911645399668643	3.27474281383109	2.741840312075137	2.7022050055374613	3.6390869104038117	2.215792084953881	2.7783053212795266	2.5661859260178663	2.463232400814215	3.170621057708844	2.855377943712831	2.759902266507194	2.47335064491097	3.130946137360399	3.1461240987238153	3.4924161271801535	3.012233801285982	2.5947943239941083	1.9690032215304893	2.4791778725523073	2.260412895422682	2.7363236855767354	3.255412212750547	2.8250158951882205	3.029151041636119	3.101698144609641	3.132088178380549	2.1921820986095626	2.1756756856043604	2.95666620637468	2.4911459911673868	2.100448850873456	2.6483724153426675	2.8096499620092943	3.351609430407212	2.7721581623590343	2.3231854146176456	1.6182009388869065	3.177667655343867	2.5120783731504766	1.6056930037874029	1.7287683367676232	1.3642030424364036	1.6931059051627804	2.0345270674492735	2.88076282410389	1.1673875599705599	2.741682483649734	2.0799199481419586	1.5010793651142744	2.0380135643671573	2.5166825075177783	0.37766135190356787	3.3776742343498745	2.622641923583281	1.8854915561390293	3.2334261174124435	3.533703964556859	1.6965534283002366	0.979646198085787	1.1539989235989094	1.247104441338919	2.013950246634224	1.2721609008955623	1.3784871046531322	3.5543766713342446	0.1067685862469324	2.712777188004206	2.206756767161278	1.6265126899631148	2.1931649052221904	0.5035969496482335	3.5282912050658863	0.5062544896573439	0.23765674699343234	0.383885147263735	2.2363358556505313	2.36060159555137
JS104	1.7128188258251296	1.9436403394658408	0.5410626179650986	2.121947882814246	2.1954659602501585	1.4943868753194998	0.0	2.437477027986408	2.044886272561456	2.4279527540842465	2.0257658688857294	2.4190188180675345	1.14802041137916	1.2387964543257026	1.5776199994400633	1.5279478176621581	1.4302018695178227	1.1405971001974347	1.384892818893567	1.0689593739064636	1.0753587272130456	1.977330126274758	1.5002198655834487	1.3530564621619556	2.1135844932291876	1.619905394748958	1.7092766167562905	1.9952059263464412	1.4597829016212742	1.3303530352341213	1.4876856434714048	1.609735461937241	2.0427161768495856	2.1222267586367907	1.615430879293302	3.4676805840169105	0.821031383391309	1.3175651781377624	1.9955292402486895	1.2267802032822541	1.6903762690430315	1.4673804826563546	1.2954837935584067	1.6935434754428753	1.648731597330187	1.6666678153627357	2.0087199348236293	1.5609285828480133	1.4833982630893303	0.9384457279531414	1.4320218704082932	1.1034633869377815	1.5465110700973825	1.786952664905944	2.1095997675690765	1.5427953180589415	1.6666254180586095	1.7479838727305845	0.8632198004203728	0.7054527500552477	1.4760196179515024	1.1686873281596808	0.7159782629745516	1.3438061620331336	1.7778229891252242	1.8775463524771072	1.4251903729185624	0.865651345433046	0.2832939185363704	1.8706716921302207	1.1938040886469055	0.6806066241063048	0.4082129186480013	0.2973231767942025	0.2810468292308495	0.5732755303617372	1.5650126870830974	1.018460448205387	1.5652998795085675	1.3652054746205553	1.3038353095714386	1.5825502825088873	1.0797566734611521	1.7522166804989234	2.2663008156753004	1.6786384903829341	1.1688669590570848	1.7440249076643508	2.310058058909726	0.8935296016529856	0.6721640747643237	0.9737912245798668	0.9890588619381556	0.9215718492736978	0.845613132147329	0.7352534091918883	2.2005369337558447	1.5517097675819655	1.5011548913512902	1.1414080806504925	0.5002329502383049	0.8050507589319396	1.8316627607216063	2.1845638735941333	1.953833324179157	1.4455874489257738	1.8613927294328172	0.7480265014789514	1.1833412144197697
JS105	1.0089799162535333	0.6534272861322126	2.9082746880232535	3.2817980243133587	3.6708667044414494	2.940179319124501	2.437477027986408	0.0	2.859764803029138	3.2890898707763827	0.702708728000907	0.5027783794931294	2.5656462923589776	1.7961019026652383	1.0588514767998602	1.9650448080976892	1.5456913872492752	1.7574452634079125	1.7863880262730265	2.3067427374278466	1.6258784095801344	1.017333821832068	1.6958530619107142	2.1627368722957008	1.0814201202995581	1.203619860928875	1.057831177326321	0.76590600232359	2.362329177354624	1.760537182609797	1.9354399089684926	1.4399418087371927	1.6236761086950875	0.34725410801990453	1.2643614726728736	1.1739571235577173	2.040910518903586	2.324724161899593	0.5471722366744821	1.6137928227074	2.7159972112938258	2.020469349385738	2.324310851071718	0.8157053479638733	2.697194809815537	2.8630847458422437	2.9069461970296246	2.4774161127105105	1.3373443287009745	1.5460211279971354	1.3776920595087891	1.5683893769158435	1.5755259167436482	3.245095209129433	0.5187218680968047	2.978325746155068	2.649609289801495	3.3955311284068017	2.1716494181307744	2.4697021635213114	2.758968441342641	1.9412000213979488	2.894427143528912	3.4272780492439603	3.973660527235746	2.627661537685875	3.2212237913088604	2.629098108100156	2.6747062227406055	3.828889252485763	3.3113825064434406	3.0570148094923066	2.0756658663285883	2.3409205697085524	2.3106742250817596	2.6790516837777707	1.8016911483701052	3.1202792011991476	3.6549181784284364	3.7082965256697986	3.677324269874322	4.003885077374957	2.9918527716706262	3.1376630062175965	4.342452551876894	3.9148207713738574	3.4881243258834895	2.739999675992483	4.267254378705994	3.2675075354911463	2.2575966641440495	3.2133189339425714	1.8072221174662326	3.170110265354039	2.019142460382249	2.842745286885116	3.8988772706746317	2.9710014708186274	1.5652838790685313	3.38663301775635	2.835957577112079	2.90450954852657	2.8083540943256646	3.9237569413152262	3.034245075068092	2.7252692443596565	3.1188452852737587	2.614119933905739	3.431147408346639
JS106	2.830867031406982	2.7922579429323227	1.9806007202505018	0.5141108031763743	0.9657677700484995	0.720679514667648	2.044886272561456	2.859764803029138	0.0	0.5031191184958939	2.928248432581297	2.7538642161922846	0.9061544046433541	2.9048539297187363	2.6935001446736933	3.275410811730331	2.933522199611598	2.7772403541322848	3.0532669100823733	3.0116593815916124	2.6047596645513504	3.1388548100820235	3.1069976393315986	3.209013648985781	3.2994199530400397	2.8989975161790977	2.7991751197819124	2.9779497956195495	3.3723419863069526	2.9905226935568248	3.222400834915099	3.062314836449783	3.541072884551059	2.7399935069953134	2.9378462243836387	3.3659495454925823	2.6433464698113394	3.2381282964837936	2.5767988224718583	2.783719370384264	3.66770486303004	3.2477769388661963	3.217711962690779	2.5718387971973304	3.6283596759843744	3.6716856582539767	3.9880468987876303	3.4824970406864484	2.8515999276643713	2.270282213867799	2.7406322924611577	2.57980429685419	3.040167074224171	3.8297003383253716	2.8512525942755387	3.5809660583261596	3.5932851823618144	3.741274142382062	2.657685799499032	2.710021748213252	3.4825239415616833	2.8929817703505445	2.715996071340386	3.2996247294510823	3.5064911250974333	3.8098918981237433	3.3866310843374894	2.878860901131425	2.2231267325610236	3.8323966376280034	3.152358509950568	2.2477751937413166	2.1783290560429114	1.8927797114607356	2.2125258706204183	2.610873091690092	3.214788000563555	1.8410092687636768	3.4135450443389534	2.7885272987495306	2.2185979297541953	2.758176157164654	3.115295419464836	0.7540269336828458	4.072098445674257	3.3223856955726583	2.584378351264616	3.723747926037291	4.212366689000921	2.3903723386160705	1.4395396246516434	1.862664491400664	1.481709789323127	2.675986180122867	1.6290692159118825	2.007772028858752	4.192100661956591	0.6751108735338027	2.997271585164946	2.8834961031205273	2.2632024843070706	2.8057602504101946	0.2898843856187184	4.171237239677622	0.2987890676128611	0.6540255186366672	0.5370143232760594	2.7892880263705817	3.034202861879991
JS107	3.268585130342181	3.2287939126829204	2.316105362432705	0.5864017499064682	0.8746843152357016	1.0193366058275473	2.4279527540842465	3.2890898707763827	0.5031191184958939	0.0	3.36103952280949	3.2108785607153725	1.301202128970725	3.3262052485734097	3.1298871782945055	3.7091980841030585	3.3626738434457004	3.1983642036376456	3.500366372916196	3.423564753761632	3.059301441128956	3.5885464555553375	3.559453286562076	3.633240731504519	3.7485508000069343	3.360063461985022	3.220368341161842	3.4247341190839715	3.7982216378050397	3.42680294663442	3.6667368201981447	3.5143903197171826	3.9874632827225165	3.185969957525027	3.399580857488163	3.753570495943202	3.0541558295478404	3.6587682029237762	3.0415431904181607	3.218787896162546	4.08480974364316	3.6837988780257684	3.630181802790678	3.010786284461629	4.043636561883755	4.082610261650785	4.40404084323107	3.9148227587750615	3.311083902115912	2.7258043489017805	3.2167845326546503	3.0376458582576107	3.5087383380978974	4.211222038403941	3.279036585316132	3.9653373777906262	4.029701054734858	4.127362093257381	3.1043363745201025	3.1168158838665256	3.8920036982152304	3.347136008917756	3.0753634262497584	3.6321523473806154	3.8132157219170217	4.225473450162294	3.7729909756654636	3.281250853039178	2.5915512867226194	4.148990010235551	3.4745608791483362	2.5245956599485693	2.5933055962317444	2.308289810790655	2.6240407588853003	2.9765417816770543	3.640535120139604	2.174063219415096	3.7529458839694763	3.0744638817245447	2.418559927053561	2.9658457331165557	3.4780458729681105	1.0165828054836106	4.378524981756162	3.6266042321298717	2.8923691227999315	4.128366009187725	4.532399675026266	2.705215079427688	1.8730151447915864	2.156123478366666	1.9603445498677252	3.0286772844367524	2.104559329201672	2.3912692546863514	4.552890841839783	0.9408294993223736	3.4188853233052767	3.2203600582038354	2.629702672927364	3.1752891670629273	0.7360772100613269	4.5264528508242945	0.5574184727081907	1.0531541850494792	0.7710611808227061	3.169986371650368	3.3559320970417716
